  subjects puzzleID numCities mas nos undo_c leftover numError sumSeverityErrors numUNDO TT
1 45 10 10 6 1 8.153328 0 0 0 15.351000
1 30 5 8 5 1 55.726387 1 3 0 12.397000
1 37 7 10 6 1 20.964152 1 3 0 52.147000
1 39 10 10 1 1 0.594999 0 0 0 29.030000
1 11 11 12 6 1 25.184428 1 1 0 145.011000
1 33 8 9 5 1 7.851337 1 1 0 11.112000
1 43 11 12 16 1 37.279393 1 1 0 18.537000
1 21 8 9 84 1 13.763732 1 1 0 20.015000
1 44 7 7 13 1 23.277761 0 0 0 18.737000
1 29 9 9 1 1 11.765758 0 0 0 11.828000
1 1 7 7 6 1 20.819878 0 0 0 12.412000
1 4 9 10 4 1 18.228304 1 1 0 21.528000
1 25 8 10 5 1 43.525569 2 2 0 15.369000
1 20 9 9 1 1 3.511872 1 2 1 23.875000
1 24 9 10 4 1 12.523295 1 1 0 14.887000
1 18 9 10 3 1 11.179141 2 2 2 20.123000
1 2 10 10 70 1 24.612640 0 0 0 10.830000
1 17 7 8 2 1 33.814995 1 1 0 9.582000
1 34 10 10 12 1 18.607893 0 0 0 15.467000
2 21 9 9 84 1 26.342676 0 0 0 31.167000
2 6 10 10 180 1 18.984774 0 0 0 27.779000
2 9 9 10 2 1 30.843113 2 2 1 41.513000
2 5 9 9 5 1 3.118909 1 1 1 47.756000
2 0 6 9 104 1 9.167237 2 3 3 48.206000
2 42 8 9 16 1 12.742422 1 1 0 51.714000
2 12 9 9 2 1 14.396888 0 0 0 37.856000
2 16 8 9 13 1 28.779444 2 3 1 46.556000
2 13 11 11 60 1 7.017001 0 0 0 18.934000
2 38 8 9 33 1 30.443581 3 3 2 72.317000
2 7 9 9 3 1 10.842372 1 2 3 54.999000
2 44 7 7 13 1 6.619204 0 0 0 41.608000
2 30 6 8 5 1 14.300013 2 3 5 77.969000
2 35 9 11 5 1 5.915468 1 2 0 22.185000
2 27 9 11 13 1 8.690357 5 5 14 69.873000
2 14 9 10 8 1 3.470340 1 1 0 26.968000
2 15 9 9 4 1 6.073563 2 3 5 56.084000
2 8 9 9 10 1 2.959376 0 0 0 40.863000
2 36 8 10 2 1 17.737162 1 2 1 44.330000
2 17 7 8 2 1 33.814995 3 4 8 95.315000
2 33 9 9 5 1 5.971935 1 1 1 21.167000
2 22 8 9 31 1 1.322474 2 2 7 82.046000
2 1 7 7 6 1 20.819878 0 0 0 35.310000
2 7 6 9 3 0 14.589270 1 3 0 43.840000
2 38 8 9 33 0 30.443581 1 1 0 28.107000
2 24 9 10 4 0 20.474029 1 1 0 23.308000
2 4 9 10 4 0 9.041671 1 1 0 33.793000
2 26 9 9 9 0 10.755129 0 0 0 22.455000
2 8 9 9 10 0 24.940695 0 0 0 35.705000
2 25 10 10 5 0 11.524457 0 0 0 44.565000
2 33 9 9 5 0 15.378267 0 0 0 39.980000
2 34 10 10 12 0 18.607893 0 0 0 28.616000
2 21 8 9 84 0 30.866397 1 1 0 34.157000
2 36 8 10 2 0 18.371752 2 2 0 21.986000
2 31 9 10 2 0 56.385707 1 1 0 23.168000
2 13 10 11 60 0 12.550551 1 1 0 38.409000
2 1 7 7 6 0 20.819878 0 0 0 37.009000
2 10 9 9 1 0 2.312216 0 0 0 39.390000
2 5 8 9 5 0 4.444868 1 1 0 41.362000
2 15 7 9 4 0 5.591103 2 2 0 45.677000
2 39 10 10 1 0 0.594999 0 0 0 54.109000
2 35 8 11 5 0 21.825616 2 3 0 58.614000
2 2 10 10 70 0 24.612640 0 0 0 17.214000
2 20 7 9 1 0 22.055643 2 2 0 27.304000
2 28 9 9 2 0 10.728280 0 0 0 44.279000
2 40 9 9 8 0 1.338156 0 0 0 41.683000
2 12 9 9 2 0 14.396888 0 0 0 15.127000
2 18 10 10 3 0 9.817118 0 0 0 38.862000
2 43 11 12 16 0 37.279393 1 1 0 38.398000
2 22 9 9 31 0 14.538973 0 0 0 62.607000
2 6 9 10 180 0 13.255015 1 1 0 53.976000
2 19 8 8 12 0 5.157680 0 0 0 27.486000
2 14 10 10 8 0 1.720988 0 0 0 24.100000
2 32 10 10 17 0 24.281846 0 0 0 24.877000
2 30 8 8 5 0 2.074824 0 0 0 23.830000
2 9 9 10 2 0 31.221409 1 1 0 25.564000
2 23 9 10 76 0 37.819857 1 1 0 28.224000
2 17 7 8 2 0 21.887909 1 1 0 35.127000
2 45 8 10 6 0 12.882979 2 2 0 27.321000
2 41 9 10 1 0 11.718070 1 1 0 23.069000
2 0 9 9 104 0 3.986368 0 0 0 21.903000
2 42 9 9 16 0 11.945435 0 0 0 28.810000
2 11 10 12 6 0 30.182665 1 2 0 21.052000
2 44 6 7 13 0 22.471350 1 1 0 37.161000
2 27 10 11 13 0 9.475672 1 1 0 16.822000
2 3 9 10 34 0 29.215659 1 1 0 24.269000
2 16 7 9 13 0 17.454728 2 2 0 22.594000
2 29 8 9 1 0 9.486737 1 1 0 28.910000
2 37 10 10 6 0 5.401971 0 0 0 15.628000
2 4 9 10 4 1 29.123489 1 1 0 24.273000
2 39 10 10 1 1 0.594999 0 0 0 21.980000
2 45 9 10 6 1 16.700344 1 1 0 28.211000
2 2 10 10 70 1 24.612640 0 0 0 16.994000
2 19 8 8 12 1 17.178989 0 0 0 29.804000
2 28 8 9 2 1 5.887264 3 3 5 39.558000
2 26 9 9 9 1 5.975843 0 0 0 13.091000
2 20 9 9 1 1 3.511872 0 0 0 14.197000
2 18 9 10 3 1 5.103875 3 3 7 59.270000
2 29 8 9 1 1 21.692236 1 1 0 20.333000
2 3 9 10 34 1 29.215659 1 1 0 15.809000
2 10 8 9 1 1 26.260864 1 1 1 20.093000
