,sub,num_ind,rc_ind,undo_ind,num_list,budget_list,rc_list,undo_click,n_undo,diff_n,diff,diff_undo,t_rc,t_undo,f_t_rc,f_t_undo,t_everyact_rc,t_everyundo,t_everyc_undo,t_s_rc,t_s_undo
30,1,126,78,54,6,500,7,1,11,-1,-1,0,22.700000000000728,30.289999999999964,17.730000000000473,5.390000000000327,"[0.4499999999998181, 0.6700000000000728, 0.4600000000000364, 1.199999999999818, 0.9200000000000728]","[1.75, 0.25, 0.19000000000005457, 0.21000000000003638, 0.19000000000005457, 1.699999999999818, 0.3400000000001455, 0.3599999999996726, 0.2699999999999818, 0.2300000000000182, 0.3500000000003638]","[0.6599999999998545, 1.0300000000002, 0.5299999999997453, 0.4099999999998545, 0.3000000000001819, 1.9299999999998363, 0.49000000000023647, 0.75, 0.419999999999618, 0.8700000000003456, 0.5199999999999818, 0.7799999999997453, 0.680000000000291, 0.5899999999996908, 0.5100000000002183, 0.8699999999998909, 1.1199999999998909]",1.2700000000004366,6.599999999999909
31,1,127,79,55,2,200,9,1,22,1,-1,0,11.3100000000004,46.05000000000018,2.4400000000005093,2.0100000000002183,"[0.5299999999997453, 0.9399999999995998, 1.0800000000008367, 0.7199999999993452, 0.680000000000291, 1.9799999999995634, 1.9600000000000364]","[1.1900000000000546, 0.1999999999998181, 0.1799999999998363, 0.19000000000005457, 0.20000000000027285, 3.3099999999999454, 0.2600000000002183, 0.23999999999978172, 0.22000000000025466, 0.23999999999978172, 0.2300000000000182, 0.3000000000001819, 0.4699999999997999, 1.180000000000291, 1.2100000000000364, 0.2300000000000182, 0.2199999999997999, 0.18000000000029104, 0.19000000000005457, 0.21000000000003638, 0.22999999999956344, 0.2800000000002001]","[0.7199999999997999, 0.5300000000002001, 0.6999999999998181, 0.650000000000091, 0.8299999999999272, 0.5399999999999636, 0.6600000000003092, 1.069999999999709, 0.6400000000003274, 3.0, 0.6399999999998727, 1.4899999999997817, 1.1400000000003274, 0.5899999999996908, 1.0900000000001455, 0.6199999999998909, 1.300000000000182, 0.569999999999709, 0.8400000000001455, 0.599999999999909, 1.9099999999998545, 0.7199999999997999, 0.6600000000003092, 0.9099999999998545, 1.3400000000001455, 1.819999999999709, 1.3800000000001091, 0.900000000000091, 0.6799999999998363]",0.9800000000004729,3.130000000000109
32,1,128,80,56,7,500,9,0,0,-2,0,0,15.569999999999709,25.90000000000009,2.4200000000000728,8.7800000000002,"[1.2200000000002547, 2.1899999999996, 0.6199999999998909, 0.5, 0.7700000000004366, 1.4799999999995634, 0.7600000000002183, 4.569999999999709]",[],"[0.75, 1.1700000000000728, 0.599999999999909, 1.9200000000000728, 0.6099999999996726, 1.4200000000000728, 0.6399999999998727, 3.9400000000000546]",1.0399999999999636,6.070000000000164
33,1,129,81,57,5,350,8,1,21,-1,0,-1,12.720000000000255,41.429999999999836,4.830000000000837,8.11999999999989,"[1.3099999999994907, 1.0399999999999636, 1.0200000000004366, 0.7999999999992724, 1.1200000000008004, 0.5299999999997453, 0.7399999999997817]","[0.8800000000001091, 0.29999999999972715, 1.0099999999997635, 0.22000000000025466, 0.21000000000003638, 0.4600000000000364, 0.599999999999909, 0.21000000000003638, 0.20000000000027285, 0.30999999999994543, 0.25, 0.25999999999976353, 1.6200000000003456, 0.20999999999958163, 0.20000000000027285, 0.2300000000000182, 0.5399999999999636, 0.18000000000029104, 0.20999999999958163, 0.22000000000025466, 0.4099999999998545]","[0.8699999999998909, 1.550000000000182, 1.3299999999999272, 0.9900000000002365, 0.8600000000001273, 0.9399999999995998, 0.8500000000003638, 0.8899999999998727, 0.44000000000005457, 0.419999999999618, 0.75, 0.8600000000001273, 0.7699999999999818, 1.6300000000001091, 0.8400000000001455, 0.38000000000010914, 0.3799999999996544, 1.3800000000001091, 0.5499999999997272, 0.6399999999998727, 0.7200000000002547, 2.230000000000018, 0.7100000000000364, 0.8899999999998727, 0.6100000000001273, 0.7599999999997635]",1.3299999999999272,0.8800000000001091
34,1,130,82,58,4,350,9,0,0,-1,0,0,13.0600000000004,20.200000000000273,2.8299999999999272,1.2800000000002,"[0.6199999999998909, 0.8500000000003638, 0.569999999999709, 0.7200000000002547, 2.380000000000109, 1.199999999999818, 2.449999999999818, 0.8400000000001455]",[],"[1.5599999999999454, 0.7100000000000364, 1.5499999999997272, 1.3200000000001637, 0.7300000000000182, 0.7100000000000364, 1.2199999999998, 1.0700000000001637]",0.6000000000003638,10.050000000000182
35,1,131,83,59,3,200,10,1,14,1,-1,0,24.270000000000437,30.009999999999764,7.400000000000546,2.0900000000001455,"[0.9299999999993815, 0.6100000000005821, 1.8599999999996726, 1.8800000000001091, 4.130000000000109, 1.4899999999997817, 0.8599999999996726, 2.5900000000001455]","[2.330000000000382, 0.2899999999999636, 0.23999999999978172, 0.6799999999998363, 0.20000000000027285, 0.2300000000000182, 0.21000000000003638, 0.19000000000005457, 0.18999999999959982, 0.21000000000003638, 1.080000000000382, 0.1999999999998181, 0.1999999999998181, 0.18000000000029104]","[0.7899999999999636, 0.7100000000000364, 0.9800000000000182, 0.6899999999995998, 0.7699999999999818, 0.7100000000000364, 0.6700000000000728, 0.75, 0.8000000000001819, 0.7199999999997999, 0.5500000000001819, 0.38999999999987267, 0.47000000000025466, 0.7899999999999636, 0.7899999999999636, 0.5799999999999272, 0.7199999999997999, 0.4099999999998545, 0.7400000000002365, 1.8899999999998727, 0.5499999999997272, 2.0400000000004184, 1.1499999999996362]",2.5200000000004366,2.8299999999999272
36,1,132,84,60,3,200,9,1,20,0,-3,0,23.650000000000546,36.76999999999998,13.090000000000146,2.480000000000018,"[0.8600000000005821, 1.0399999999999636, 2.759999999999309, 0.7000000000007276, 4.1599999999998545]","[3.099999999999909, 0.2699999999999818, 0.2300000000000182, 0.1999999999998181, 0.21000000000003638, 0.19000000000005457, 0.25, 0.44000000000005457, 0.21000000000003638, 0.1999999999998181, 0.18000000000029104, 0.21000000000003638, 0.7600000000002183, 0.21000000000003638, 0.21000000000003638, 0.19000000000005457, 0.2300000000000182, 0.1999999999998181, 0.19000000000005457, 0.21000000000003638]","[1.300000000000182, 1.2899999999999636, 0.6100000000001273, 0.6099999999996726, 1.4700000000002547, 1.4600000000000364, 0.3200000000001637, 1.7999999999997272, 0.6400000000003274, 0.8799999999996544, 0.8200000000001637, 2.1799999999998363, 0.6999999999998181, 0.680000000000291, 0.4600000000000364, 1.0199999999999818, 0.4899999999997817, 1.0300000000002, 0.6299999999996544, 0.7999999999997272, 0.8600000000001273, 1.0799999999999272, 0.41000000000030923, 0.6199999999998909, 0.6799999999998363, 0.6400000000003274, 1.0199999999999818, 0.9599999999995816]",1.0399999999999636,0.9400000000000546
37,1,133,85,61,8,500,9,1,18,-3,-1,0,18.920000000000073,32.4699999999998,9.590000000000146,3.3299999999999272,"[0.8000000000001819, 0.5399999999999636, 0.9600000000000364, 1.269999999999527, 3.5700000000006185, 0.75, 0.8400000000001455]","[2.5299999999997453, 0.20000000000027285, 0.19000000000005457, 0.19000000000005457, 0.1999999999998181, 0.38000000000010914, 0.27999999999974534, 0.5100000000002183, 0.7699999999999818, 0.2199999999997999, 0.9299999999998363, 0.20000000000027285, 0.21000000000003638, 0.44000000000005457, 0.31999999999970896, 0.2600000000002183, 0.4299999999998363, 0.4800000000000182]","[0.7599999999997635, 0.7200000000002547, 0.5, 0.6399999999998727, 0.7199999999997999, 0.830000000000382, 0.8899999999998727, 0.40000000000009095, 0.6399999999998727, 2.0700000000001637, 1.0499999999997272, 0.47000000000025466, 0.42000000000007276, 0.7300000000000182, 0.42000000000007276, 0.5199999999999818, 1.0900000000001455, 0.900000000000091, 0.7399999999997817, 0.5599999999999454, 0.5799999999999272, 1.0599999999999454]",0.5999999999994543,1.5
38,1,134,86,62,3,200,8,0,0,-1,0,0,34.900000000000546,11.790000000000418,20.800000000000182,4.440000000000055,"[1.4899999999997817, 0.9600000000000364, 0.680000000000291, 1.449999999999818, 5.140000000000327, 0.6999999999998181, 0.8500000000003638]",[],"[0.8500000000003638, 0.8099999999999454, 0.6099999999996726, 1.1600000000003092, 0.9600000000000364, 0.5, 1.3299999999999272]",2.8299999999999272,1.1300000000001091
39,1,135,87,63,4,350,9,0,0,0,-2,-1,13.270000000000437,17.940000000000055,3.980000000000473,4.440000000000055,"[0.7600000000002183, 1.4600000000000364, 1.8699999999998909, 0.9699999999993452, 0.8900000000003274, 1.199999999999818]",[],"[5.940000000000055, 1.1700000000000728, 0.4899999999997817, 0.5100000000002183, 0.599999999999909, 0.7999999999997272, 1.25]",2.1400000000003274,2.7400000000002365
